Ensambel	Gene Name	Gene Type	Normal-1	Normal-2	Normal-3	Normal-4	Tumor-1	Tumor-2	Tumor-3	Tumor-4
227	ENSG00000008735.14	MAPK8IP2	protein_coding	210	357	74	118	205	138	773	440
228	ENSG00000008838.20	MED24	protein_coding	3983	8304	15074	3673	8015	6467	13573	2706
229	ENSG00000008853.17	RHOBTB2	protein_coding	205	2279	1957	1035	1159	814	2890	1338
230	ENSG00000008869.12	HEATR5B	protein_coding	2691	7072	4788	2575	3218	2411	10151	1909
231	ENSG00000008952.17	SEC62	protein_coding	2306	22254	16671	10977	7315	23088	16668	17506
232	ENSG00000008988.11	RPS20	protein_coding	30707	25037	48051	14711	67297	27130	34067	25156
233	ENSG00000009307.16	CSDE1	protein_coding	22814	44568	53017	19377	43531	13918	67458	43056
234	ENSG00000009335.18	UBE3C	protein_coding	4797	12191	13228	5407	14280	5207	14073	5643
235	ENSG00000009413.16	REV3L	protein_coding	966	7018	5324	1947	2079	2842	7761	4037
236	ENSG00000009694.13	TENM1	protein_coding	33	143	124	26	73	20	2875	596
237	ENSG00000009709.12	PAX7	protein_coding	38	0	129	4	0	9	6	1
238	ENSG00000009724.17	MASP2	protein_coding	36	394	208	148	43	91	143	234
239	ENSG00000009765.15	IYD	protein_coding	5	3673	1282	193	10	477	6225	417
240	ENSG00000009780.16	FAM76A	protein_coding	288	1933	1114	506	504	445	1128	675
241	ENSG00000009790.15	TRAF3IP3	protein_coding	250	312	233	93	521	367	319	57
242	ENSG00000009830.12	POMT2	protein_coding	629	1766	2456	845	1377	770	2347	728
243	ENSG00000009844.16	VTA1	protein_coding	2620	5208	8066	1844	5758	2108	9764	1091
244	ENSG00000009950.16	MLXIPL	protein_coding	21	390	158	70	6	83	2313	139
245	ENSG00000009954.11	BAZ1B	protein_coding	3151	10399	16849	4621	7506	6582	19216	5513
246	ENSG00000010017.13	RANBP9	protein_coding	16322	4740	5775	1724	4438	1919	5794	2703
247	ENSG00000010030.14	ETV7	protein_coding	117	481	1211	85	63	404	1205	104
248	ENSG00000010072.16	SPRTN	protein_coding	443	1331	2187	459	1087	593	2624	511
249	ENSG00000010165.20	EEF1AKNMT	protein_coding	939	2538	5436	1081	2720	1561	5521	781
250	ENSG00000010219.13	DYRK4	protein_coding	346	827	916	256	998	451	600	400
251	ENSG00000010244.19	ZNF207	protein_coding	7268	16265	14973	5770	13944	11386	23919	5263
252	ENSG00000010256.11	UQCRC1	protein_coding	6910	14498	22470	14384	20596	7469	14124	7105
253	ENSG00000010270.14	STARD3NL	protein_coding	331	1834	2235	754	1259	1579	4804	1124
254	ENSG00000010278.15	CD9	protein_coding	35574	16735	16862	3010	17785	8277	17454	8613
255	ENSG00000010282.15	HHATL	protein_coding	2	2	0	2	2	0	4	2
256	ENSG00000010292.13	NCAPD2	protein_coding	4004	7214	25057	3877	8994	5734	17733	2300
257	ENSG00000010295.20	IFFO1	protein_coding	191	486	444	100	171	609	539	395
258	ENSG00000010310.9	GIPR	protein_coding	35	2236	86	509	37	856	1546	155
259	ENSG00000010318.21	PHF7	protein_coding	143	257	271	133	343	110	267	158
260	ENSG00000010319.7	SEMA3G	protein_coding	190	1431	1328	410	55	734	1244	1112
261	ENSG00000010322.16	NISCH	protein_coding	4968	14282	9159	4853	6618	4211	9425	7152
262	ENSG00000010327.10	STAB1	protein_coding	485	6277	5990	1554	1462	9684	4353	3096
263	ENSG00000010361.14	FUZ	protein_coding	168	558	788	198	18	208	1015	293
264	ENSG00000010379.16	SLC6A13	protein_coding	1	1	3	2	13	6	28	0
265	ENSG00000010404.18	IDS	protein_coding	923	1235	1405	342	798	1279	2264	1108
266	ENSG00000010438.17	PRSS3	protein_coding	3361	2465	2360	97	26	1895	4067	88
267	ENSG00000010539.12	ZNF200	protein_coding	248	715	1146	285	1120	423	2374	304
268	ENSG00000010610.10	CD4	protein_coding	963	1579	5463	159	1064	5221	1912	418
269	ENSG00000010626.15	LRRC23	protein_coding	124	445	386	169	215	148	799	160
270	ENSG00000010671.16	BTK	protein_coding	372	343	777	24	74	498	259	114
271	ENSG00000010704.18	HFE	protein_coding	215	1580	1160	486	786	315	1077	447
272	ENSG00000010803.16	SCMH1	protein_coding	773	3664	2209	2098	1619	1486	6875	4054
273	ENSG00000010810.17	FYN	protein_coding	448	3190	2170	1180	942	3935	4056	1754
274	ENSG00000010818.10	HIVEP2	protein_coding	5067	5125	6234	1550	7261	7203	10077	4233
275	ENSG00000010932.17	FMO1	protein_coding	82	38	924	17	183	23	665	32
276	ENSG00000011007.12	ELOA	protein_coding	3741	8568	7709	4999	8416	4023	7900	5364
277	ENSG00000011009.11	LYPLA2	protein_coding	3621	6396	5295	2493	7455	3866	9288	1129
278	ENSG00000011021.23	CLCN6	protein_coding	535	2974	2624	939	726	1253	3432	1641
279	ENSG00000011028.14	MRC2	protein_coding	5900	10950	7951	1883	5224	3731	7159	5939
280	ENSG00000011052.21	NME1-NME2	protein_coding	0	0	0	0	0	0	0	0
281	ENSG00000011083.9	SLC6A7	protein_coding	1	2	14	2	7	14	228	1
282	ENSG00000011105.14	TSPAN9	protein_coding	913	1907	2496	682	3631	1781	3800	2110
283	ENSG00000011114.15	BTBD7	protein_coding	3153	7895	6240	2793	4459	2450	8741	2934
284	ENSG00000011132.12	APBA3	protein_coding	769	1534	1014	575	1676	1000	1829	667
285	ENSG00000011143.19	MKS1	protein_coding	368	1104	1372	461	646	407	1698	295
286	ENSG00000011198.10	ABHD5	protein_coding	4989	4295	2566	1766	4124	1381	2810	1349
287	ENSG00000011201.12	ANOS1	protein_coding	201	394	1613	296	937	78	151	211
288	ENSG00000011243.18	AKAP8L	protein_coding	927	2197	1343	815	1346	1611	3055	1030
289	ENSG00000011258.16	MBTD1	protein_coding	997	3534	3096	1470	706	1305	4612	1135
290	ENSG00000011260.14	UTP18	protein_coding	1078	1711	3862	805	2925	1742	4023	638
291	ENSG00000011275.19	RNF216	protein_coding	1802	3434	5325	1456	3382	2446	10493	2297
292	ENSG00000011295.16	TTC19	protein_coding	1591	4494	3785	2380	3062	2039	2848	1970
293	ENSG00000011304.22	PTBP1	protein_coding	17530	26668	51856	12739	45598	22757	58919	8300
294	ENSG00000011332.19	DPF1	protein_coding	10	119	54	15	197	45	487	28
295	ENSG00000011347.10	SYT7	protein_coding	1134	766	2352	298	1058	152	7186	401
296	ENSG00000011376.12	LARS2	protein_coding	1156	2472	6833	1100	2870	1198	2656	944
297	ENSG00000011405.13	PIK3C2A	protein_coding	2652	21099	15370	6191	4703	4612	25318	7410
298	ENSG00000011422.12	PLAUR	protein_coding	197	6355	7664	888	7318	11561	7475	671
299	ENSG00000011426.11	ANLN	protein_coding	997	2347	13515	2218	7750	2912	7823	139
300	ENSG00000011451.21	WIZ	protein_coding	4939	7985	8532	3549	12472	6043	11442	6085
301	ENSG00000011454.18	RABGAP1	protein_coding	4532	6876	5074	2088	6280	2994	5497	6508
